,0,1,2,3,4,5,6,7,8
0,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/flejk.html,"Renovated 3-room apartment with an overall area of 46 m2.
Well ",Valdemāra 121,3,46,1/5,P. kara,"1,261 €","58,000  €"
1,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/eohen.html,Cena atbilst īpašuma novērtējuma summai. Pilnībā aprīkots trīs i,Strēlnieku 19,3,77,1/3,P. kara,"1,753 €","135,000  €"
2,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cihpo.html,Divistabu dzīvoklis ar zemi īpašumā. Dzīvoklis sastāv no Izolēta,Bruņinieku 78,2,44,4/4,P. kara,795 €,"35,000  €"
3,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ckpdp.html,"Divi dzīvokļi, tikko pēc remonta. Tiek pārdoti abi kopā. 1 istab",Barona 29,3,107,3/4,P. kara,"1,776 €","190,000  €"
4,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dkhdf.html,"Pārdod ļoti skaistu 3 istabu (76m2) dzīvokli ar podiņu krāsnīm, ",Tallinas 23,3,76,1/5,P. kara,"1,303 €","99,000  €"
5,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/diemm.html,Pārdošanā studio tipa dzīvoklis. Iespēja iegādāties kā investīci,Bruņinieku 93a,1,29,1/4,P. kara,"1,552 €","45,000  €"
6,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ahljo.html,"Предлагается 3-х комнатная квартира, площадью 97 кв. м. 2 спальн",Martas 7,3,97,2/7,Jaun.,"3,711 €","360,000  €"
7,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/clfkl.html,К вашему вниманию предлагается 4 комнатная квартира в самом цент,Dzirnavu 66a,4,101,2/6,P. kara,"1,782 €","180,000  €"
8,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ahden.html,Pārdod 3-istabu dzīvokli jaunajā projektā. Dzīvoklis aprīkots ar,Klusā 20,3,60,3/9,Renov.,"1,150 €","69,000  €"
9,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ckkmj.html,"Dzīvoklis, ko piedāvājam iegūt savā īpašumā, atrodas Rīgas Klusa",Skolas 12A,3,220,5/6,Renov.,"1,359 €","299,000  €"
10,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/eobkp.html,"Labs dzīvoklis investīcijai, birojam vai sev pašam. 
Dzīvokli i",Blaumaņa 12,1,36,6/7,Renov.,"2,586 €","93,080  €"
11,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/chmpx.html,"Laba cena lieliskam dzīvoklim Rīgas centrā. 
Īpašniece pārdod p",Marijas 16,4,100,6/7,P. kara,"1,620 €","162,000  €"
12,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cpgie.html,"Pārdod nelielu dzīvokli ar iestrādātu biznesu, mēneša ienākumi v",Valdemāra 69,1,14,3/6,Renov.,"3,071 €","43,000  €"
13,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ajbxo.html,"Редкость. На одной из самых престижных и красивых улиц города, г",Ausekļa 3,3,73,1/5,P. kara,"1,363 €","99,500  €"
14,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aflxi.html,"Ēku kompleksā ""Skanstes Virsotnes"" pārdošanai tiek piedāvāts 2-i",Grostonas 25,2,66,9/23,Jaun.,"2,197 €","145,000  €"
15,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aofph.html,"Продаем просторную пятикомнатную квартиру в центре Риги. 

Общ",Čaka 41,5,97,2/2,P. kara,"1,082 €","105,000  €"
16,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bekdi.html,Pārdošanā tiek piedāvāts investīciju objekts Rīgas centra aktīva,Birznieka-Upīša 6,Citi,195,2/3,P. kara,815 €,"159,000  €"
17,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/chgee.html,Pārdod dzīvokli tikko pēc renovācijas. Dzīvoklī neviens nav dzīv,Tallinas 90,1,26,4/6,P. kara,"1,769 €","46,000  €"
18,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/biiic.html,"Elegants dzīvoklis projektā Parker's. 

Piedāvājam trīs istabu",Valdemāra 41,3,67,4/7,Jaun.,"2,828 €","189,500  €"
19,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ajhlb.html,Tiek pārdots plašs trīs istabu dzīvoklis. Pagalmā ir vieta autom,Pētersalas 2,3,79,2/5,P. kara,"1,400 €","110,600  €"
20,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/acnhh.html,"Pārdodas 4 -istabas dzīvoklis, pašā Rīgas centrā. Dzīvoklis ir a",Birznieka-Upīša 20,5,120,4/5,P. kara,"1,130 €","135,600  €"
21,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dnbgl.html,Īpašnieks pārdod stilīgu un majīgu dzīvokli pašā Rīgas centrā pe,Marijas 16,3,89,6/7,Renov.,"1,899 €","169,000  €"
22,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/eclok.html,"Elegants dzīvoklis projektā Parker's. 

Piedāvājam trīs istabu",Valdemāra 41,3,66,5/7,Jaun.,"2,689 €","177,500  €"
23,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dickk.html,"Elegants dzīvoklis projektā Parker's. 

Piedāvājam divu istabu",Melngaiļa 8,2,43,3/7,Jaun.,"2,837 €","122,000  €"
24,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/exngg.html,"Pārdod plašu, renovētu, labiekārtotu, divu līmeņu 5 istabu dzīvo",Marijas 25,5,160,6/7,P. kara,"1,375 €","220,000  €"
25,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/hbppb.html,"Sakarā ar pārvākšanos uz ārzemēm, tiek pārdots plašs divistabu d",Valdemāra 121,2,65,1/5,P. kara,554 €,"36,000  €"
26,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/elpnk.html,"Unikāls Loft tipa dzīvoklis renovētā ēkā, kas nodota ekspluatāci",Sapieru 3B,1,33,5/5,Renov.,"2,242 €","74,000  €"
27,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/hfdxi.html,"Šis nams celts stateniskā jūgendstila formās, un tā arhitekts ir",Mārstaļu 16,3,77,5/5,Renov.,"2,727 €","210,000  €"
28,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bfbjhe.html,Pārdodu skaistu dzīvokli. Piemērotu aktīvai ģimenei. Blakus Daug,Pērnavas 47,4,74,1/5,P. kara,"1,486 €","110,000  €"
29,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gclgx.html,Piedāvājumā dzīvoklis ar balto apdari arhitekta Eižena Laubes pr,Ģertrūdes 99,2,43,5/6,Renov.,"1,790 €","76,970  €"
30,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dbobh.html,"Tiek pārdoti divi atsevišķi vienistabas dzīvokļi, katrs ar plātī",Eksporta 4,1,32,1/6,P. kara,"1,281 €","41,000  €"
31,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/fxmxh.html,Īpašnieks uzsāk dzīvokļu pārdošanu slavenā arhitekta Kārļa Johan,Avotu 4,1,28,3/5,Renov.,"1,718 €","48,110  €"
32,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcjegd.html,Pēdējā 10. stāva dzīvoklis ar gatavu iekšējo apdari. Neviens dzī,Vesetas 26,3,76,10/10,Jaun.,"2,303 €","175,000  €"
